"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Alternéo",59,59,59,0,"15702438"
"Car Jaune",36,34,34,0,"19856217"
"Citalis",27,19,19,0,"12655400"
"ישראל",3,3,3,0,"1658627"
"אילת",1,1,1,0,"8276816"
"19ت",1,0,0,0,"5926679"
"ALSA Agadir",79,0,0,0,"6251925"
"ALSA Citybus RST",87,0,0,0,"12949544"
"ALSA Khouribga",24,0,0,0,"10217963"
"ALSA Marrakech",82,0,0,0,"17721290"
"ALSA TANGER",101,0,0,0,"14619021"
"Addis Ababa Public Transport",396,0,0,0,"10399951"
"Alsa National Express",2,0,0,0,"12969262"
"Bus Jaunes",1,0,0,0,"7743162"
"Bus privé",1,0,0,0,"9415328"
"CBD",1,0,0,0,"3299192"
"Cape Peninsula University of Technology (CPUT)",6,0,0,0,"13092009"
"Cape Town IRT",50,0,0,0,"13108786"
"CasaBusway",4,0,0,0,"18041838"
"Casabus",136,0,0,0,"14780325"
"Chapas",100,0,0,0,"10046925"
"Chapas; REM",19,0,0,0,"10053948"
"Chapas;RCM",11,0,0,0,"10082354"
"Chapas;REM",108,0,0,0,"10037134"
"Chapas;REM;RCM",3,0,0,0,"10081515"
"Chetouane-Imama",1,0,0,0,"7876088"
"Chetouane-LaGare",1,0,0,0,"7876090"
"Chetouane-LaRocade",1,0,0,0,"7848106"
"Chetouane-Medecine",1,0,0,0,"7876089"
"City Bus Fès",14,0,0,0,"12448871"
"City Bus Meknès",38,0,0,0,"11321587"
"City Electric Bus",1,0,0,0,"19700776"
"City Transport",2,0,0,0,"17227251"
"City of Windhoek",15,0,0,0,"12272246"
"Corujas",25,0,0,0,"10082165"
"Council City Council",1,0,0,0,"6041612"
"DZ Jijel",2,0,0,0,"19604080"
"DZ-07:transport",1,0,0,0,"4222915"
"DZ:transport",6,0,0,0,"5958951"
"Dakar Dem Dikk",6,0,0,0,"6951328"
"Daladala",320,0,0,0,"5439752"
"Dar",1,0,0,0,"5440754"
"EMTPM",64,0,0,0,"17920156"
"ETUS Mostaganem",1,0,0,0,"8745749"
"ETUSA",1,0,0,0,"3114066"
"ETUST",4,0,0,0,"13122754"
"Equinox Transport",10,0,0,0,"14614334"
