"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
NA,39317,902,1204,0,"10001510"
"ירושלים",299,129,183,0,"10704884"
"ישראל",154,92,154,0,"15914016"
"おおのハートバス",56,55,56,0,"14127246"
"西条線",51,51,51,0,"15745584"
"אשקלון",85,40,60,0,"12821499"
"ボン・バス",60,32,60,0,"13443167"
"באר שבע",74,25,62,0,"12998114"
"雲芸南線",22,22,22,0,"15748978"
"光線",21,21,21,0,"13884882"
"防長線",20,20,20,0,"13884431"
"ערד",18,18,18,0,"20446126"
"דימונה",17,17,17,0,"12651157"
"בית שמש",44,16,16,0,"13187874"
"אופקים",14,12,14,0,"12665484"
"נתיבות",14,10,10,0,"12691454"
"אשדוד",63,7,32,0,"13806135"
"רחובות",28,7,28,0,"14196502"
"נס ציונה",8,6,8,0,"16438188"
"קריית גת",27,6,18,0,"13147955"
"広浜線",5,5,5,0,"13850270"
"אילת",7,4,7,0,"18823514"
"כסייפה",4,4,4,0,"13071059"
"秋吉線",4,4,4,0,"13884347"
"広島市内循環線（めいぷる～ぷ）",3,3,3,0,"15742307"
"כרמיאל",3,2,3,0,"19282183"
"שלומי",2,2,2,0,"15842147"
"שדרות",20,1,20,0,"12696745"
"03",1,0,0,0,"7394148"
"1",1,0,0,0,"17039678"
"103路",1,0,0,0,"2420604"
"196",1,0,0,0,"4801350"
"22",1,0,0,0,"2185388"
"2路",1,0,0,0,"13163557"
"3",1,0,0,0,"20321967"
"4",1,0,0,0,"17834852"
"88 名鉄東岡崎駅～JR岡崎駅(西口)",1,0,0,0,"12337079"
"?",4,0,0,0,"20276784"
"AICTSL",1,0,0,0,"2251075"
"AMA Bus",2,0,0,0,"16348168"
"AMTS",1,0,0,0,"2830398"
"APST",1,0,0,0,"2169771"
"AS.MY Seremban",1,0,0,0,"19988794"
"Alappuzha Buses",11,0,0,0,"17035445"
"Alappuzha Buses;KSRTC",4,0,0,0,"18404391"
"Alappuzha Buses;KSRTC Ordinary",2,0,0,0,"17007610"
"Almaty BRT",1,0,0,0,"19582296"
"Ama Bus",52,0,0,0,"16344772"
"Amman BRT",2,0,0,0,"13735677"
"Angkot",1,0,0,0,"2216572"
"Angkot Kabupaten Bandung",34,0,0,0,"18793587"
"Angkot Kabupaten Bandung Barat",20,0,0,0,"18400714"
"Angkot Kota Bandung",82,0,0,0,"16634809"
"Angkot Kota Cimahi",18,0,0,0,"18797950"
"Angkot Kota Medan",120,0,0,0,"17274803"
"Angkot Lintas Bandung Raya",51,0,0,0,"17830973"
"Angkot Lintas Kota Bandung",17,0,0,0,"17553836"
"AngkotMajalengka",26,0,0,0,"5764986"
"AngkotSumedang",34,0,0,0,"4638115"
"Angkutan Kabupaten Bogor",1,0,0,0,"20237528"
"Angkutan Kota",1,0,0,0,"9971668"
"Angkutan Kota Bogor",19,0,0,0,"15587765"
"Angkutan Kota Cirebon",3,0,0,0,"19659872"
"Angkutan Tangerang",26,0,0,0,"17705548"
"Angkutan kota",1,0,0,0,"9980128"
"Armenia",2,0,0,0,"11265296"
"Aバス",1,0,0,0,"19598352"
"BAS.MY Ipoh",1,0,0,0,"10670428"
"BAS.MY Johor Bahru",23,0,0,0,"14272234"
"BAS.MY Kota Setar",1,0,0,0,"5473483"
"BAS.MY Seremban",28,0,0,0,"15700517"
