"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Transport Buses",1575,1421,1561,0,"10606454"
"Translink",951,786,865,0,"10025615"
"PTV - Metropolitan Buses",594,181,515,0,"10668596"
"Adelaide Metro",185,112,153,0,"10601181"
"NSW TrainLink",93,92,93,0,"19368101"
"PTV - Bendigo Buses",41,34,36,0,"13628195"
"PTV - Valley Transit",27,16,27,0,"19320447"
"PTV - Regional Buses",128,15,25,0,"11372561"
"PTV - Greater Shepparton Transit",13,13,13,0,"20372876"
"PTV - Horsham Transit",11,9,9,0,"20463156"
"Private bus services",9,9,0,0,"13438176"
"TfNSW - Regional Coaches",9,9,9,0,"12861038"
"PTV - Wangaratta Transit",8,8,8,0,"20509325"
"PTV - Warrnambool Buses",14,8,14,0,"12235043"
NA,112,8,8,0,"10116038"
"PTV - Mildura Transit",14,7,7,0,"2950683"
"PTV - Warragul Transit",13,7,9,0,"19340578"
"PTV - Ballarat Transit",20,6,10,0,"2000692"
"PTV - Colac Transit",6,6,6,0,"20380053"
"PTV - Maryborough Transit",7,6,7,0,"20499364"
"PTV - Wellington Transit",7,6,7,0,"20349117"
"PTV - Geelong Buses",45,5,45,0,"10783338"
"PTV - East Gippsland Transit",8,4,5,0,"20232774"
"PTV - Lakes Transit",5,4,5,0,"20415021"
"PTV - Mount Alexander Buses",6,4,6,0,"20509008"
"PTV - Regional Coaches",20,4,6,0,"13842235"
"PTV - Kyneton Transit",5,3,5,0,"20280012"
"PTV - Bairnsdale Transit",3,2,3,0,"2897041"
"PTV - Stawell Transit",3,2,2,0,"2958000"
"PTV - Ararat Transit",3,1,3,0,"2896380"
"PTV - Benalla Transit",2,1,2,0,"2898746"
"PTV - Hamilton Transit",3,1,3,0,"2934629"
"PTV - Mitchell Transit",5,1,5,0,"2957767"
"PTV - Portland Transit",2,1,2,0,"2955511"
"AT",391,0,0,0,"10030434"
"Airport Connect",1,0,0,0,"8633332"
"Auckland Airport",3,0,0,0,"14258542"
"Ayers Rock Resort Shuttle",1,0,0,0,"10460454"
"BUSIT",39,0,0,0,"14883303"
"BayBus",47,0,0,0,"15954549"
"BusSmart",6,0,0,0,"19188253"
"Cathedral Cove Park & Ride",1,0,0,0,"9258550"
"CityLink",7,0,0,0,"3795912"
"Citylink",1,0,0,0,"5626766"
"GizzyBus",6,0,0,0,"5634695"
"GoBus",1,0,0,0,"5820802"
"Greyhound Australia National Coach Network",1,0,0,0,"7714037"
"Horizons",38,0,0,0,"17344814"
"InterCity",1,0,0,0,"15628957"
"Kelsian Group",4,0,0,0,"16124880"
"Metlink",242,0,0,0,"11026952"
"Metro",4,0,0,0,"6177176"
"Metro Christchurch",58,0,0,0,"12554852"
"Metro Tasmania",3,0,0,0,"12336431"
"Mount Gambier City Bus Service",3,0,0,0,"2961192"
"Mount Hotham Alpine Resort",2,0,0,0,"12714702"
"Otago Regional Council",19,0,0,0,"1171531"
"PTV",1,0,1,0,"17819805"
"PTV - Gisborne Transit",2,0,0,0,"2904782"
"PTV - Metropolitan Trains",1,0,0,0,"19469838"
"PTV - Twin City Transit",13,0,3,0,"2924028"
"PTV - Yarrawonga Transit",3,0,0,0,"2962925"
"Palmerston to Farrar, Johnston and Zuccoli and return",1,0,0,0,"19145455"
"Palmerston to Farrar, Johnston and Zuccoli via Tuckeroo Boulevard and return",1,0,0,0,"19145456"
"Palmerston to Palmerston hospital and return",1,0,0,0,"18788657"
"Palmerston to Palmerston suburbs and return",3,0,0,0,"17172449"
"Public Transport Victoria",1,0,1,0,"2898836"
"QConnect - Whitsunday Transit",1,0,0,0,"4676366"
"Qantas",1,0,0,0,"17947102"
"RAI NC",5,0,0,0,"12152371"
"Raroronga Circle-Island Buses",1,0,0,0,"1140874"
"Rarotonga Circle-Island Buses",1,0,0,0,"1140875"
"Regional Buses",1,0,0,0,"2907363"
"SkyBus",2,0,0,0,"19556890"
"Skybus",5,0,2,0,"10299367"
"Station Shuttle",1,0,0,0,"18459470"
"Sydney Airport",1,0,0,0,"10743774"
"TAG",13,0,0,0,"2868305"
"Tanéo",31,0,0,0,"11995537"
"Taranaki Regional Council",15,0,0,0,"19066710"
"Tasmania Parks and Wildlife Service",2,0,0,0,"20247215"
"Tere Tahiti",8,0,0,0,"12871451"
"Transperth",667,0,0,0,"10255675"
"Transport Canberra",44,0,0,0,"20297105"
"Transregional",2,0,0,0,"20059467"
"Urban",1,0,0,0,"10110986"
"V/Line - Mt Beauty to Melbourne",3,0,0,0,"12216191"
"Western Sydney University shuttle bus",2,0,0,0,"9821725"
"eBus",14,0,0,0,"17081769"
"goBay",30,0,0,0,"19366957"
