"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"1",1,0,0,0,"12852586"
"326",1,0,0,0,"6100720"
"7",2,0,0,0,"7306214"
"AMA",33,0,0,0,"2063531"
"ATI",10,0,0,0,"2625100"
"Alimentadora",7,0,0,0,"10116052"
"Autobuses Unidos de Coronado S.A.",1,0,0,0,"6106787"
"CR",2,0,0,0,"10364285"
"CTP",1,0,0,0,"6101187"
"Camaguey",2,0,0,0,"14241488"
"Carros Públicos",9,0,0,0,"4782343"
"Cartago Radiales",2,0,0,0,"3984779"
"G14",1,0,0,0,"13335595"
"Grand Sud Caraïbe",2,0,0,0,"20251614"
"Habana Bus Tour",3,0,0,0,"4497873"
"IRTRAMMA",92,0,0,0,"11228556"
"Kar'îles",4,0,0,0,"19581351"
"Konvoi",37,0,0,0,"14103604"
"Línea de San Juan",2,0,0,0,"5163969"
"Manzanillo",4,0,0,0,"7158578"
"MetroBus",1,0,0,0,"19020197"
"Metrobus",86,0,0,0,"18721925"
"Moravia y Ramales",1,0,0,0,"6110023"
"Mozaik",1,0,0,0,"11900634"
"Mozaïk",4,0,0,0,"8542486"
"NI",35,0,0,0,"10062707"
"NI-Chinandega",2,0,0,0,"12841053"
"NI-Estelí",10,0,0,0,"6719139"
"NI-Jinotega",10,0,0,0,"10524861"
"NI-Masaya",6,0,0,0,"11225023"
"NI-Matagalpa",20,0,0,0,"10122261"
"Ni-Matagalpa",1,0,0,0,"13961625"
"OMSA",1,0,0,0,"13707435"
"Omnibus",2,0,0,0,"18446058"
"Red Alimentadora",2,0,0,0,"14606056"
"Ruteros Cienfuegos",2,0,0,0,"5012377"
"SITME",1,0,0,0,"6100510"
"SMT",3,0,0,0,"10024848"
"San Juan Trolley",1,0,0,0,"938736"
"San Pedro Curridabat",1,0,0,0,"5446748"
"San Pedro-Curridabat",16,0,0,0,"5444090"
"Tipitapa - Managua",10,0,0,0,"10515172"
"Transmetro",22,0,0,0,"10123492"
"Transportes La Fortaleza Limitada",1,0,0,0,"6101499"
"TuBus",2,0,0,0,"18672965"
"U4",1,0,0,0,"13335634"
"U61",1,0,0,0,"12825612"
"Unknown",2,0,0,0,"6092739"
"interurbana",27,0,0,0,"12564838"
"jcvs",1,0,0,0,"2080919"
"jitney",1,0,0,0,"7001091"
"local",2,0,0,0,"14390665"
"pap_taptap",14,0,0,0,"1732468"
"urban",2,0,0,0,"12863456"
NA,951,0,0,0,"10155528"
