"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Internorte",435,401,0,0,"10149009"
"Santa Cruz",377,371,0,0,"10068766"
"Intersul",306,297,2,0,"10156084"
"Transcarioca",236,236,0,0,"1022032"
NA,5121,98,0,0,"10012432"
"BRT",79,61,0,0,"10078187"
"Red Metropolitana de Movilidad",236,29,29,0,"11775390"
"STPL",151,21,0,0,"12924868"
"004",4,0,0,0,"9986777"
"007",2,0,0,0,"9631654"
"1",1,0,0,0,"5391758"
"2",1,0,0,0,"5391749"
"3",2,0,0,0,"5385727"
"30 A-1",2,0,0,0,"16869639"
"30 A-2",2,0,0,0,"16009449"
"4",1,0,0,0,"5391756"
"6 de junio-granados",1,0,0,0,"2523194"
"621",1,0,0,0,"3238375"
"802 TRANSBARCA",1,0,0,0,"8589799"
"ABC Transportes",1,0,0,0,"2767577"
"ACTU",1,0,0,0,"8472050"
"ANTT",26,0,0,0,"10740286"
"Achumani-Ida",1,0,0,0,"20246345"
"Achumani-Vuelta",1,0,0,0,"20255392"
"AeroDirecto",1,0,0,0,"19701773"
"Aeroporto/Eixo L/Esplanada/Setor Hoteleiro Norte-Sul/Centro de Convenções /Eixo W/Aeroporto",1,0,0,0,"3783075"
"Agglo'bus",30,0,0,0,"13092746"
"Aguas Negras - Don Sebastián",1,0,0,0,"2369226"
"Aguia Branca",30,0,0,0,"7255231"
"Alimentadora",7,0,0,0,"10569532"
"Alvorada",8,0,0,0,"7821389"
"Autobuses Santa Fe",1,0,0,0,"1577284"
"BHTRANS",1,0,0,0,"2677581"
"BO:C:Cochabamba;BO:C:Colcapirhua;BO:C:Quillacollo",4,0,0,0,"11111001"
"BO:CB:Cochabamba",446,0,0,0,"10176999"
"BO:CH:Sucre",35,0,0,0,"18369100"
"BO:LP:La Paz",37,0,0,0,"10254606"
"BO:OR:Oruro",159,0,0,0,"15423122"
"BO:P:Villazón",3,0,0,0,"20392314"
"BR:BR",1,0,0,0,"10568847"
"BR:MG",2,0,0,0,"7303824"
"BR:MG:Belo Horizonte",32,0,0,0,"10068968"
"BR:MG:Betim",3,0,0,0,"3401674"
"BR:MG:CGA",24,0,0,0,"10192406"
"BR:MG:Contagem",5,0,0,0,"3380414"
"BR:MG:Manhuaçu",18,0,0,0,"4193670"
"BR:MG:Nova Lima",17,0,0,0,"3381098"
"BR:MG:Ribeirão das Neves",10,0,0,0,"3390904"
"BR:MG:Sabará",2,0,0,0,"5812444"
"BR:MG:Santa Luzia",31,0,0,0,"3394257"
"BR:MG:Três Corações",5,0,0,0,"7324886"
"BR:PB",6,0,0,0,"3382575"
"BR:PB:João Pessoa",94,0,0,0,"3323618"
"BR:PB:Patos",4,0,0,0,"7426382"
"BR:PB:Santa Rita",5,0,0,0,"5481647"
"BR:PE:RMR",1,0,0,0,"13489738"
"BR:RS:SGA:coletivo",5,0,0,0,"10606280"
"BR:RS:SMA:coletivo",1,0,0,0,"6259623"
"BR:SC:Garopaba",28,0,0,0,"17290335"
"BR:UFMG",1,0,0,0,"2955055"
"BR:semiurbano",1,0,0,0,"13534310"
"BRT Leste-Oeste",6,0,0,0,"10597544"
"BRT Norte-Sul",7,0,0,0,"10570175"
"BRT Salvador",5,0,0,0,"14658356"
"BRT Via Livre",1,0,0,0,"9727257"
"BTU",2,0,0,0,"2700194"
"Barra",14,0,0,0,"5459952"
"Benfica",1,0,0,0,"2185166"
"BikeGV",4,0,0,0,"13887189"
"Boa Vista",3,0,0,0,"3841008"
"BusCaracas",2,0,0,0,"2790312"
"Buses Eléctricos Colina",3,0,0,0,"18648045"
"Buses de Acercamiento Aeropuerto",1,0,0,0,"15684001"
"Buses de Potosí",1,0,0,0,"6609548"
"C.O.T.A. La Calera",2,0,0,0,"18921633"
"CABA",101,0,0,0,"10749619"
"CALLE GUZMAN BLANCO",1,0,0,0,"7256768"
"CO:Boyacá",1,0,0,0,"19654058"
"CO:MEGABUS",75,0,0,0,"7423880"
"COLE Neuquén",70,0,0,0,"15097185"
"Caja Ferroviaria-Ida",1,0,0,0,"7804653"
"Caja Ferroviaria-Vuelta",1,0,0,0,"20257454"
"Campus",8,0,0,0,"3621845"
"Canchunchú - Centro",1,0,0,0,"7147571"
"CarCor",14,0,0,0,"20267771"
"Centenário",4,0,0,0,"3843639"
"Centro",17,0,0,0,"12565058"
"Centro - Macarapana",1,0,0,0,"7147576"
"Cerquilho",2,0,0,0,"11862705"
"Chapecó",92,0,0,0,"12370226"
"Charallave - Centro",1,0,0,0,"7147580"
"Chasqui Express S.R.L",2,0,0,0,"6720513"
"Chasquipampa-Ida",1,0,0,0,"20240169"
"Chasquipampa-Vuelta",1,0,0,0,"19198167"
"Chico de Paulo",10,0,0,0,"5465403"
"Cidade do Sol",28,0,0,0,"11773569"
"City Tour",2,0,0,0,"13336798"
"Colonia Caroya - Jesus María",1,0,0,0,"3424778"
"Coniferal",41,0,0,0,"1421729"
"Conorte",1,0,0,0,"10742427"
"Consórcio Guaicurus",1,0,0,0,"11498477"
"Consórcio Metropolitano",6,0,0,0,"13344243"
"Cootransbar",1,0,0,0,"3343786"
"Cordial",2,0,0,0,"7924358"
"Corredor Ipanema",3,0,0,0,"12639003"
"Corredor Itavuvu",6,0,0,0,"11581779"
"Corupá",2,0,0,0,"5466179"
