"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Alternéo",51,51,51,0,"15702438"
"Car Jaune",35,33,33,0,"19856217"
"Cinor",23,18,18,0,"12655400"
"Alternèo",4,4,4,0,"19854025"
"אגד",4,4,4,0,"1658627"
"CIVIS",2,2,2,0,"16635009"
NA,1757,2,2,0,"10037134"
"Citalis",4,1,1,0,"20628993"
"La Région Réunion",1,1,1,0,"6398599"
"A Re Yeng",16,0,0,0,"19970570"
"AINA",2,0,0,0,"16070435"
"ALSA",229,0,0,0,"10217963"
"ALSA Citybus RST",2,0,0,0,"12993355"
"AMBININTSOA",6,0,0,0,"8109313"
"AMBONDRONA",2,0,0,0,"16068148"
"APSRTC",2,0,0,0,"10123245"
"Abeka Lapaz Circle Accra Local of Abeka Branch of G.P.R.T.U",2,0,0,0,"7415754"
"Abeka Lapaz Highway (GPRTU)",8,0,0,0,"7435456"
"Abeka Lapaz Madina Adenta (Novotel) Branch of GPRTU",10,0,0,0,"7480400"
"Abeka Trotro Branch of GPRTU",8,0,0,0,"7442512"
"Abeka-Lapaz Kaneshie Agbogbloshie",2,0,0,0,"7457497"
"Abeka-Lapaz Kaneshie Agbogbloshie Branch of GPRTU",6,0,0,0,"7421169"
"Abelemkpe Dzorwulu Branch of GPRTU",4,0,0,0,"7492875"
"Accra - C.M.B - Darkuman Local of Lomnava Tantra Hill Alhaji GPRTU",1,0,0,0,"7473304"
"Accra Arena - Total Zongo - Russia - Marteheko Branch of G.P.R.T.U",8,0,0,0,"7546832"
"Accra Arena - Total Zongo - Russia - Mataheko Branch of G.P.R.T.U",2,0,0,0,"7422764"
"Accra CMB Branch No. 2 of GPRTU",11,0,0,0,"7480068"
"Accra Mamponse Branch of GPRTU",14,0,0,0,"7461508"
"Accra New Town (Novotel) Branch of GPRTU",8,0,0,0,"7431880"
"Accra New Town Timber Market Branch of GPRTU",2,0,0,0,"7425316"
"Accra Newtown - 37 - Burma Camp - Madina Branch",6,0,0,0,"7477078"
"Accra No. 2 Branch of GPRTU",2,0,0,0,"7584876"
"Accra-Chorkor-Mamponse Taxi Branch of GPRTU",2,0,0,0,"7548047"
"Achimota - Lapaz Taxi & Hiring Branch of G.P.R.T.U",9,0,0,0,"7455013"
"Achimota - Lapaz Taxi Hiring & Branch of G.P.R.T.U",1,0,0,0,"7560155"
"Achimota Co-operative Taxi Branch",2,0,0,0,"7463167"
"Achimota Co-operative Transport Society Limited",2,0,0,0,"7477090"
"Achimota GPRTU Main Branch",26,0,0,0,"7420174"
"Achimota No. 5 GPRTU Branch",2,0,0,0,"7542086"
"Adabraka Co-operative Transport Society Limited",8,0,0,0,"7452793"
"Addis Ababa Bus Service Enterprise",4,0,0,0,"17082327"
"Addis Ababa City Bus Service Enterprise",390,0,0,0,"10399951"
"Adom GPRTU of TUC",2,0,0,0,"9638821"
"Aftu",1,0,0,0,"3982642"
"Alajo Co-operative Transport Society",2,0,0,0,"7475767"
"Alajo Trotro Branch of GPRTU",2,0,0,0,"7548748"
"Alsa",134,0,0,0,"10218120"
"Alsa Al Baida",123,0,0,0,"14780325"
"Alsa National Express",2,0,0,0,"12969262"
"Alsa marrakech",8,0,0,0,"18140379"
