"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"広電バス",382,382,382,0,"15483186"
"広島交通",182,182,182,0,"14966506"
"中国ジェイアールバス",142,141,142,0,"13850270"
"אגד",277,127,224,0,"11290216"
"広島バス",105,101,101,0,"15033744"
"דן בדרום",181,83,139,0,"12665484"
"芸陽バス",171,74,171,0,"14577742"
"フォーブル",73,72,73,0,"13922184"
"呉市",89,65,89,0,"13837194"
"אקסטרה ירושלים",95,57,70,0,"10704884"
"ささき観光",56,55,56,0,"14127246"
"סופרבוס",73,33,44,0,"12538663"
"エイチ・ディー西広島",60,32,60,0,"13443167"
"מטרופולין",35,25,31,0,"12286094"
"נתיב אקספרס",77,24,77,0,"13710937"
"בית שמש אקספרס",45,17,17,0,"13187874"
"גלים",36,15,22,0,"12799437"
"דן באר שבע",64,15,52,0,"12998114"
"備北交通",124,10,124,0,"14351604"
"אלקטרה אפיקים",94,2,59,0,"13350644"
"高岡市公営バス",30,1,30,0,"13813065"
"""Автопарк №2"" АО ""ТПАТП №1""",2,0,0,0,"18248393"
"""Автопарк"" ЖШС",2,0,0,0,"19859667"
"""Тэшка""",1,0,0,0,"19414128"
"""Ստեփանակերտ-Սերվիս"" ՓԲԸ",2,0,0,0,"9515106"
"(주)광일운수",4,0,0,0,"7556638"
"(주)성수여객",2,0,0,0,"7513887"
"(주)중부운수",1,0,0,0,"12468598"
"1",1,0,0,0,"5202004"
"1-Автокорхона ДУК",1,0,0,0,"4184496"
"103-1",1,0,0,0,"18752345"
"111",1,0,0,0,"2632716"
"12 коммерческих ИП",1,0,0,0,"20130794"
"123",1,0,0,0,"2634301"
"131",1,0,0,0,"2632707"
"147",1,0,0,0,"2634300"
"152",1,0,0,0,"2632711"
"162",1,0,0,0,"2632708"
"166",1,0,0,0,"2790640"
"172",1,0,0,0,"2634299"
"188",1,0,0,0,"2632706"
"200",1,0,0,0,"2634147"
"238",1,0,0,0,"2632717"
"251",1,0,0,0,"2632710"
"254",1,0,0,0,"2661075"
"258",1,0,0,0,"2632709"
"28",1,0,0,0,"2644804"
"29",1,0,0,0,"2623898"
"336",1,0,0,0,"2661051"
"341",1,0,0,0,"2661050"
"373",1,0,0,0,"2644805"
"378",1,0,0,0,"2635695"
"38",1,0,0,0,"2623900"
"3D",1,0,0,0,"17636548"
"7",1,0,0,0,"2623899"
"7 ЧАТО",1,0,0,0,"2097851"
"9",1,0,0,0,"2623897"
"?",4,0,0,0,"20276784"
"A. Roces Transport Service Cooperative, Inc.",2,0,0,0,"10845737"
"AICTSL",1,0,0,0,"2251075"
"ALPS the Bus, Inc.",19,0,0,0,"10335990"
"AMTS",2,0,0,0,"2235713"
"AMV Travel and Tours Inc.",2,0,0,0,"12850594"
"APSRTC",44,0,0,0,"17338986"
"APSRTS",1,0,0,0,"2449458"
"APST",2,0,0,0,"2169771"
"Abu Dhabi DOT",1,0,0,0,"2181884"
"Abu Dhabi Integrated Transport Centre",1,0,0,0,"14655124"
"Abu Dhabi Integrated Trasport Centre",3,0,0,0,"14655388"
"Air 21",4,0,0,0,"10463093"
"Alabang Metro Link",7,0,0,0,"15019303"
"Alabang Transport Service Cooperative",15,0,0,0,"10393521"
"Alam Sutera Township Management",5,0,0,0,"11557649"
"Ampairungroj",3,0,0,0,"15344979"
"Angkot 17",1,0,0,0,"2549003"
"Angkot 33",1,0,0,0,"2548961"
"Antonina Line (A. Bron)",1,0,0,0,"8202710"
"B.B.Rich (Thailand)",2,0,0,0,"13936340"
"BBL Trans",2,0,0,0,"10775454"
"BEEP",1,0,0,0,"3201532"
"BEEP Program;Barangay Paliparan 3 Transport Cooperative",1,0,0,0,"8960283"
"BEST",5,0,0,0,"6866017"
"BEST Undertaking",1,0,0,0,"1530764"
"BGC Bus",1,0,0,0,"11192401"
"BMTA",231,0,0,0,"13513506"
"BMTC",860,0,0,0,"10104371"
"BRT1",1,0,0,0,"12731585"
