"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Transport for Brisbane",431,415,424,0,"13486141"
"Kinetic Group",182,143,177,0,"10025615"
"Busways North West",116,114,116,0,"12250040"
"Transit Systems",116,104,110,0,"11208909"
"Busways R1",116,103,116,0,"17513684"
"Adelaide Metro (Torrens Transit)",101,100,101,0,"13877216"
"NSW TrainLink",101,100,101,0,"13441657"
"CDC NSW R4",99,98,98,0,"10627407"
"U-Go Mobility",89,87,89,0,"17150638"
"Keolis Downer Northern Beaches",92,86,92,0,"10606454"
"Transit Systems NSW",84,79,84,0,"17136005"
"Transdev John Holland Buses",78,77,78,0,"10980594"
"CDC NSW R14",68,67,68,0,"1067344"
"Hunter Valley Buses",70,66,70,0,"13448564"
"Transdev",226,66,100,0,"10774151"
"Ventura",196,57,138,0,"10775218"
"Bus Queensland",58,51,58,0,"13438276"
"Transit Systems NSW SW",56,51,56,0,"18352614"
"Busways",76,46,67,0,"12861038"
"Redbus CDC NSW",43,42,43,0,"17434814"
"Newcastle Transport",37,35,37,0,"12249331"
"Busways OMR6",34,30,34,0,"14305862"
"Christian's Bus Company",32,29,31,0,"13628195"
"Hornibrook Bus Lines",29,28,29,0,"12697887"
"Surfside Buslines",26,26,26,0,"18813328"
"CDC Melbourne",70,22,69,0,"11158313"
"Kangaroo Bus Lines",21,21,21,0,"11204886"
"Premier Illawarra",27,21,26,0,"17250589"
"Bathurst Buslines",21,18,21,0,"18955652"
"Caboolture Bus Lines",19,17,17,0,"11198951"
"Clarks",17,17,17,0,"20201802"
"Clarks Logan City Bus Service",30,17,30,0,"17264843"
"Berrima Buslines",19,16,19,0,"18870238"
"Kinetic",122,16,39,0,"10981110"
"Thompson Bus Services",16,16,16,0,"13049794"
NA,295,16,28,0,"10116038"
"Dyson's",88,15,74,0,"10674722"
"Orange Buslines",15,15,15,0,"19445297"
"Shepparton Transit",15,15,15,0,"20372876"
"Qcity Transit",15,14,15,0,"13332390"
"Eggins Comfort Coaches",16,13,16,0,"19107871"
"Forster Buslines",12,12,12,0,"19058080"
"Tamworth Buslines",11,11,11,0,"17857658"
"Latrobe Valley",17,10,17,0,"20376399"
"Martins Albury",10,10,10,0,"15577750"
"Tullamarine",14,10,14,0,"10668596"
"Nowra Coaches",11,9,11,0,"18772204"
"Wimmera",12,9,9,0,"20463156"
"Busabout Wagga",10,8,10,0,"19473599"
"Dysons",15,8,12,0,"10736859"
"Dysons Buslines",10,8,10,0,"19257876"
"Fallon's",9,8,8,0,"20509325"
"Transit South West",14,8,14,0,"12235043"
"Blue Mountains Transit",7,7,7,0,"13165700"
"Christian's",13,7,9,0,"20380053"
"Dions Bus Service",7,7,7,0,"18780584"
"Dubbo Buslines",7,7,7,0,"19599549"
"Junee Buses",7,7,7,0,"19251442"
"Kinetic Melbourne",18,7,18,0,"10674893"
"Picton Buslines",11,7,11,0,"18827172"
"Sunraysia",14,7,7,0,"2950683"
"Warragul Bus Lines",13,7,9,0,"19340578"
"Blanch's Bus Company",7,6,7,0,"19873669"
"Buslines Group Pty Limited",8,6,6,0,"18771991"
"CDC Ballarat",20,6,10,0,"2000692"
"Edwards Coaches",6,6,6,0,"17775572"
"Griffith Buslines",8,6,8,0,"19236144"
"Latrobe Valley Bus Lines",10,6,10,0,"19320447"
"Lithgow Buslines",9,6,9,0,"17394239"
"Maryborough Transit",7,6,7,0,"20499364"
"Mt Gravatt Bus Service",6,6,6,0,"20049744"
"Ogdens Coaches",8,6,8,0,"19466898"
"Osborn's Buses",7,6,7,0,"18982022"
"PBC Goulburn",6,6,6,0,"19145523"
"Port Stephens Coaches",10,6,10,0,"19136626"
"Rover Coaches",6,6,6,0,"19516448"
"Sita",23,6,22,0,"10726117"
"Wellington Transit",7,6,7,0,"20349117"
"Brisbane Transport",13,5,5,0,"13576396"
"CDC Mildura Pty Ltd",6,5,6,0,"19889304"
"Cavanagh Bus & Coach Pty Ltd",9,5,9,0,"19581855"
"McKenzie's",6,5,6,0,"17513152"
"Newman's Bus Service",5,5,5,0,"18876238"
"Western Road Liners",5,5,5,0,"19466891"
"Cann's Bus Management",4,4,4,0,"20121878"
"Castlemaine",6,4,6,0,"20509008"
"Cowra Bus Service",4,4,4,0,"19470057"
"Echuca Moama Transit",6,4,6,0,"19725824"
"Kellam Bus Lines Pty Ltd",4,4,4,0,"18812806"
"Keolis Downer Newcastle Transport",4,4,4,0,"12288512"
"Kiama Coaches",4,4,4,0,"19079337"
"McHarry's",34,4,32,0,"10783338"
"Panorama",7,4,7,0,"14027889"
"Shoalbus",10,4,10,0,"19149415"
"V/Line",18,4,6,0,"12174283"
"Allen's Coaches",3,3,3,0,"19248254"
"Forbes Buslines",3,3,3,0,"19473728"
"Kennedy's Bus and Coach",8,3,8,0,"18906195"
"Murrays Coaches",3,3,3,0,"19257524"
"Ulladulla Buslines",4,3,4,0,"18918697"
"Whitmore Bus Group",7,3,3,0,"16653380"
"Wingham Buslines",5,3,5,0,"18827435"
"Adelaide Metro (Busways)",8,2,8,0,"11261330"
"Brisbane Bus Lines",2,2,2,0,"14131064"
"CDC Geelong",16,2,16,0,"11846233"
