"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"10",1,0,0,0,"8274764"
"4x3",1,0,0,0,"7087070"
"51 y 53 S.A",1,0,0,0,"5445839"
"51 y 53 S.A.",1,0,0,0,"5444090"
"8",1,0,0,0,"8153634"
"ABC Busbedrijf",39,0,0,0,"14099725"
"AMSA",1,0,0,0,"6110023"
"ARTRA",57,0,0,0,"10952690"
"Alpizar S.A.",2,0,0,0,"20262512"
"Arubus",11,0,0,0,"11546899"
"Autobuses Unidos de Coronado",1,0,0,0,"6106787"
"Autoridad Metropolitana de Autobuses",39,0,0,0,"2063531"
"Autotransportes El Guarco",3,0,0,0,"12946429"
"Autotransportes Pavas",1,0,0,0,"6092739"
"Autotransportes RARO S.A.",1,0,0,0,"9449110"
"Autotransportes del Este Montoya",4,0,0,0,"5448436"
"BBOC",1,0,0,0,"13168313"
"Barbados Transport Authority",4,0,0,0,"4572334"
"Barbados Transport Board",13,0,0,0,"14669706"
"CANGT",2,0,0,0,"12852586"
"CASBT",3,0,0,0,"13458268"
"CENBUS",3,0,0,0,"5448131"
"CESMAG",9,0,0,0,"5446496"
"COOTRANSCOMAT",21,0,0,0,"10122261"
"Caraïbus",4,0,0,0,"8542486"
"Caribe Tours",1,0,0,0,"2856624"
"Chiguichón",2,0,0,0,"14732983"
"Consejo de Transporte público",1,0,0,0,"6101187"
"Cooperativa 11 de julio R.L.",2,0,0,0,"10524856"
"Cooperativa 17 de Octubre",2,0,0,0,"2607580"
"Cooperativa 21 de Enero",6,0,0,0,"2602344"
"Cooperativa 22 de Octubre",2,0,0,0,"4279121"
"Cooperativa Andrés Castro",2,0,0,0,"2606806"
"Cooperativa Camilo Chamorro",2,0,0,0,"2602495"
"Cooperativa Camilo Ortega",4,0,0,0,"2608742"
"Cooperativa Ciudad Sandino",2,0,0,0,"11228556"
"Cooperativa Colón",6,0,0,0,"2606743"
"Cooperativa Cootbusa",2,0,0,0,"2602440"
"Cooperativa De Transporte Urbano Unitario R.L.",2,0,0,0,"2607516"
"Cooperativa Divina Luz",2,0,0,0,"4463818"
"Cooperativa El Esfuerzo Democrático R.L.",4,0,0,0,"10515172"
"Cooperativa Iván Montegro",2,0,0,0,"3155254"
"Cooperativa La Reconciliación",2,0,0,0,"4512987"
"Cooperativa Las Jagüitas",2,0,0,0,"3182542"
"Cooperativa Los Vanegas",2,0,0,0,"2941129"
"Cooperativa Milagro de Dios",2,0,0,0,"4512869"
"Cooperativa Nicarao",2,0,0,0,"2616965"
"Cooperativa Nueva Nicaragua y Cooperativa 12 de Octubre",2,0,0,0,"2739256"
"Cooperativa Nueva Unidad y Esfuerzos",2,0,0,0,"5714046"
"Cooperativa Omar Baca",2,0,0,0,"2606881"
