"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
NA,3191,164,15,0,"10104230"
"Redentor",126,123,0,0,"1022032"
"Barra",89,89,0,0,"10073172"
"Jabour",86,83,0,0,"10068766"
"Campo Grande",60,60,0,0,"10074259"
"BRT Rio",63,58,0,0,"10078187"
"Palmares",56,56,0,0,"10074064"
"Futuro",56,55,0,0,"11025981"
"Ideal",54,51,0,0,"11022171"
"Pavunense",57,48,0,0,"10946310"
"Paranapuan",50,47,0,0,"11046010"
"Tijuca",42,42,2,0,"10952090"
"Braso Lisboa",39,39,0,0,"10994332"
"Real",42,38,0,0,"11026800"
"Recreio",39,34,0,0,"10259323"
"Vila Real",37,34,0,0,"11062423"
"Caprichosa",35,32,0,0,"11088817"
"VG",33,31,0,0,"10946110"
"Três Amigos",32,28,0,0,"11027171"
"Estrela",35,27,0,0,"10064228"
"Transurb",28,27,0,0,"10951858"
"Pégaso",26,26,0,0,"10143121"
"Acari",24,23,0,0,"11026753"
"Alpha",23,23,0,0,"11017788"
"GIRE",23,21,0,0,"11017295"
"Vila Isabel",21,21,0,0,"11049347"
"Matias",20,20,0,0,"11017975"
"Lourdes",23,19,0,0,"11022013"
"Novacap",18,18,0,0,"10149009"
"GIRE;Real",13,11,0,0,"11544130"
"Real; Redentor",9,9,0,0,"10956406"
"Santiago Transporte Urbano S.A.",19,9,9,0,"14151738"
"Futuro;Tijuca",8,8,0,0,"11066336"
"Pavunense;Vila Real;Gire",8,8,0,0,"11280220"
"Alpha;Transurb",6,6,0,0,"10949618"
"Caprichosa;Pavunense;Braso Lisboa",6,6,0,0,"11052700"
"Normandy",6,6,0,0,"11046066"
"Pavunense;Estrela",6,6,0,0,"11062074"
"Penha Rio",7,6,0,0,"11222334"
"Real;Alpha",6,6,0,0,"12381755"
"Redentor;Futuro",6,6,0,0,"11062825"
"Verdun",6,6,0,0,"11017944"
"Barra;Futuro",5,5,0,0,"11062588"
"Real;Redentor",5,5,0,0,"11052797"
"Braso Lisboa;Gire",4,4,0,0,"10156084"
"Caprichosa;Pavunense;Três Amigos;Novacap;Estrela",4,4,0,0,"11026601"
"Caprichosa;Três Amigos",4,4,0,0,"11062397"
"Graças",4,4,0,0,"11065575"
"Graças; Real",4,4,0,0,"11015232"
"Real;Transurb;Alpha",4,4,0,0,"11030344"
"Verdun;Real",4,4,0,0,"11026723"
"Mobi Rio",7,3,0,0,"10107505"
"Vila Isabel;Braso Lisboa",3,3,0,0,"11030210"
"Alpha; Braso Lisboa; Graças; Real",2,2,0,0,"13744818"
"Alpha; Braso Lisboa; Graças; Real; Tijuca",2,2,0,0,"12454752"
"Alpha; Braso Lisboa; Tijuca",2,2,0,0,"10956356"
"Alpha;Graças",2,2,0,0,"11065939"
"Braso Lisboa; Real; Tijuca",2,2,0,0,"13744848"
"Braso Lisboa;Caprichosa;Pavunense",2,2,0,0,"11051214"
"Braso Lisboa;Real",2,2,0,0,"11026917"
"Braso Lisboa;Real;Alpha;GIRE;Transurb",2,2,0,0,"11065598"
"Braso Lisboa;Vila Isabel",2,2,0,0,"11544131"
"Buses Vule",28,2,2,0,"18436143"
"Jabour;Pégaso;Barra;Campo Grande",2,2,0,0,"5949475"
"Premium",2,2,0,0,"11045824"
"Real;Alpha;Braso Lisboa;Graças;GIRE;Tijuca",2,2,0,0,"11065608"
"Real;Transurb",2,2,0,0,"11030329"
"Recreio;Premium",2,2,0,0,"11042823"
"Redentor;Transurb",2,2,0,0,"11088494"
"Redentor;Três Amigos",5,2,0,0,"10956386"
"Vila Isabel;Graças",2,2,0,0,"11065959"
"Buses Metropolitana S.A.",1,1,1,0,"11775390"
"Gire",1,1,0,0,"11491317"
"Metropol",1,1,1,0,"17617515"
"Redbus Urbano S.A.",9,1,1,0,"6656339"
"+ network=SPTrans",1,0,0,0,"17282506"
"-",3,0,0,0,"15639451"
"04:00-23:59",1,0,0,0,"15328683"
"1001",14,0,0,0,"10889891"
"12 de Octubre",4,0,0,0,"5417682"
"123 - CAVALCANTI & CIA. LTDA. (NILOPOLITANA)",4,0,0,0,"11898851"
"16 de Noviembre SRL",1,0,0,0,"17615515"
"20 de Junio",1,0,0,0,"17581041"
"206 - VIAÇÃO VILA RICA LTDA.",2,0,0,0,"14372179"
"21 DE JULIO",6,0,0,0,"6425518"
"25 de Agosto SRL",20,0,0,0,"17067754"
"25 de Mayo",4,0,0,0,"5416034"
"38Bus",6,0,0,0,"20418567"
"4 de Septiembre S.A.T.C.P.",5,0,0,0,"380915"
"7 DE MAYO",4,0,0,0,"6433023"
"A2 TRANSPORTES LTDA",18,0,0,0,"10539304"
"A2 Transportes",2,0,0,0,"5966738"
"A2 Transportes Ltda.",10,0,0,0,"10884490"
"ABC",2,0,0,0,"10901847"
"ABC Busbedrijf",39,0,0,0,"14099725"
"ABC Sistema (ABC Sistema de Transporte SPE S.A.)",18,0,0,0,"10605603"
"AESA",1,0,0,0,"1595929"
"AGUILA DORADA",4,0,0,0,"6423298"
"ALBORADA",2,0,0,0,"6425971"
"ALTO TRUJILLO S.A.",4,0,0,0,"19962362"
"AMEP",102,0,0,0,"10218039"
"ARCO IRIS EXPRESS S.A.",4,0,0,0,"19967429"
"ATL",92,0,0,0,"6722853"
"AUTO VIAÇÃO MARECHAL",1,0,0,0,"3544584"
"AUTO ÔNIBUS TRÊS IRMÃOS LTDA",3,0,0,0,"4600722"
"Abate Molina S.A.",5,0,0,0,"2985223"
"Aguia Branca",30,0,0,0,"7255231"
"Albardón",3,0,0,0,"12243111"
"Albardón SRL",54,0,0,0,"12241336"
"Alfa Rodo Bus",6,0,0,0,"16696469"
"Alfa Rodobus S/A Transportes, Administração e Participação",2,0,0,0,"12395268"
"Alfa y Omega S.A.C.",1,0,0,0,"17580756"
"Allibus Transportes Ltda.",10,0,0,0,"12385857"
"Allin Group - Javier Prado S.A",3,0,0,0,"13707077"
"Almafuerte Empresa de Transporte S.A.",4,0,0,0,"8229124"
"Almafuerte S.A.C.I. e I.",37,0,0,0,"14634488"
"Almafuerte S.A.T.A.C.I",4,0,0,0,"17430954"
"Alto de Sierra",16,0,0,0,"12241673"
"Alvorada",16,0,0,0,"6632161"
"Ambiental Transportes Urbanos S.A.",2,0,0,0,"3320536"
"Amigos Unidos S.A.C.",1,0,0,0,"17581510"
"Amparo",2,0,0,0,"1150428"
"Andesmar",2,0,0,0,"20608822"
"Angus Catering",2,0,0,0,"7017792"
"Anhanguera",6,0,0,0,"6947563"
"Anhanguera (Consórcio Anhanguera)",10,0,0,0,"10745483"
"Aparecida",1,0,0,0,"3028530"
"Araçatuba",6,0,0,0,"10907510"
"Arco Iris Express",2,0,0,0,"17434313"
"Arubus",11,0,0,0,"11546899"
"Asociacion Señor de Mayo",5,0,0,0,"9353130"
"Asociación Cooperativa Transcaribia 2011, R.L.",3,0,0,0,"13390062"
"Asociación de Taxi Trufis 1ro de Mayo",2,0,0,0,"11111001"
"Asociación de autotransporte Uspa Uspa",2,0,0,0,"9430922"
"Asociación de taxi trufis 10 de diciembre",4,0,0,0,"10720842"
"Asociación de taxi trufis 1ro de mayo",50,0,0,0,"10414549"
"Asociación de taxi trufis San Miguel",8,0,0,0,"10695765"
"Asociación de taxis y trufis ATI",2,0,0,0,"11106387"
"Asociación de taxis y trufis Cosmos",4,0,0,0,"10718967"
"Asociación de taxis y trufis Pucara",8,0,0,0,"10396238"
"Asociación de transporte integrado de servicio público Apote",4,0,0,0,"11096956"
"Asociación de transporte libre mixto Oruro",10,0,0,0,"10694992"
"Asociación de transporte mixto Renacer",4,0,0,0,"9380270"
"Asociación de transporte y servicio Luz Urkupiña",2,0,0,0,"9397731"
"Asociación mixta de transporte y servicios Chilimarca",2,0,0,0,"9380213"
"Athenas Paulista",3,0,0,0,"1365126"
"Atlántida S.A.C.",37,0,0,0,"12101244"
"Auto Viação ABC",2,0,0,0,"3907148"
"Auto Viação Chapecó",1,0,0,0,"12370226"
"Auto Viação Floresta",4,0,0,0,"9510989"
"Auto Viação Floreta",1,0,0,0,"9516463"
"Auto Viação Santo Antônio",6,0,0,0,"10473196"
"Auto Viação São José",34,0,0,0,"10156338"
"Auto Viação São José dos Pinhais",4,0,0,0,"15852343"
"Auto Viação São Judas Tadeu",7,0,0,0,"10989327"
"Auto Viação Transcap",2,0,0,0,"3491574"
